,news,code
0,동영상 뉴스코로나로 위축되는 내수를 살리기 위해 정부가 개별소비세 인하를 모든 승용차에 적용하면서 국산 차 가격이 최대 만 원 내립니다개별소비세의 최대 인하 한도는 만 원이지만 개소세를 기준으로 부과되는 교육세와 부가가치세의 인하 폭까지 더하면 최대 만 원을 감면받을 수 있습니다이에 따라 국산 차 업계는 판매 모델별 가격을 수정해 홍보에 들어갔습니다한국자동차산업협회는 개별소비세 인하 조치가 있었던 지난 년 월 이후 개월 동안의 국산 차 판매량이 직전 같은 기간보다  증가했다고 밝혔습니다김평정저작권자     무단전재 및 재배포 금지,경제
1,동영상 뉴스앵커인터넷에서 해외 직구로 쉽게 살 수 있는 초저가 어린이 휴대용 카시트가 안전하지 않다는 소비자원 조사 결과가 나왔습니다소비자원은 문제의 제품들이 안전 벨트를 아예 착용하지 않은 것과 다를 바 없는 수준이라고 지적했습니다차유정 기자가 보도합니다기자인터넷에 검색만 하면 나오는 어린이 휴대용 카시트들입니다주로 천 재질인데 제품을 좌석에 고정한 뒤 벨트를 채우고 중간 패드에 좌석 안전띠를 통과시켜 이중으로 고정하는 방식입니다해외 직구로 살 수 있는데 가격도 만 원 미만으로 저렴합니다그런데 문제는 안전입니다소비자원이 저가형 카시트 개 제품을 살폈더니  인증을 받은 제품은 단 한 개도 없었습니다기능 실험 결과도 충격적이었습니다소비자원이 미인증 시트 개를 골라 장착한 차량을 시속  속도로 벽에 부딪히게 해 봤습니다문제의 제품을 보면 목 부위가 심하게 꺾이고 가슴 골반 부위가 시트에서 완전히 떨어집니다인증 제품은 마네킹 신체 전반을 안정적으로 고정해 상체가 앞으로  내로 쏠리는 반면 미인증 품은 까지 튀어 나갑니다또 다른 미인증 제품도 마찬가집니다고정장치가 망가지면서 마네킹 하체가 시트 앞으로 그대로 미끄러집니다사고 충격 실험 뒤의 미인증 제품입니다골반 고정장치가 완전히 떨어져 나갔습니다이 정도면 카시트로의 보호 기능이 거의 없다는 게 소비자원 판단입니다김병법  소비자원 안전감시국 생활안전팀  저희가 느꼈던 것은 안전 벨트 착용하지 않은 것과 큰 차이가 없었다는 겁니다일부 미인증 제품에선 피부염이나 호흡기 질환을 유발할 수 있는 유해물질인 폼알데하이드도 기준치를 초과해 검출되기도 했습니다소비자원은 지금은 문제의 제품들을 팔지 말도록 조치했다면서 소비자들도 안전 인증 표시가 없는 저가형 제품들은 사지 말라고 당부했습니다 차유정입니다저작권자     무단전재 및 재배포 금지,경제
2,코로나가 세계적으로 점점 확산되면서 종합상사를 비롯한 국내 기업들의 해외영업에 비상이 걸렸다 사태 초기에는 발병국인 중국의 출장을 자제했지만 최근에는 확진자가 급증한 한국이 해외출장 기피 대상이 됐다한국인 입국을 제한하는 국가가 속출하는 데다 입국하더라도 격리 조치를 당하는 등 해외출장길이 막히고 있다 대구경북을 비롯한 한국으로의 여행경보 격상으로 외국 기업 관계자의 한국 방문 역시 제한됐다일 산업계에 따르면 가장 큰 타격을 받는 곳은 해외영업을 주업무로 하는 종합상사다 한국인 경계 분위기로 출장뿐만 아니라 해외 바이어 초청도 막히면서 기존 거래처만 유지될 뿐 신규 영업이 중단되다시피 했다삼성물산은 중국 후베이성 출장을 금지한 데 이어 임직원의 해외출장을 잠정 제한했다 또 외부 고객 미팅은 가급적 줄이고 전화나 콘퍼런스콜 등을 활용하고 있다 상사는 국내외 위험지역 출장을 금지한 것을 비롯해 현지 주재원이 국내로 들어오는 것도 해외사업장 간 방문도 자제시키고 있다 한 종합상사 관계자는 입국제한이 아닌 국가라도 격리되는 경우가 있어 해외출장을 줄줄이 취소했다며 통상 팀별로 월간 출장이 여건 되는데 월 출장 계획은 전무하다고 말했다해외 기업들의 방한 일정도 잇따라 취소되고 있다 구글과 아마존 등이 코로나가 확산한 한국을 비롯해 이탈리아 이란 일본 등의 출장을 제한하고 있다고 미국 언론은 전했다아마존은 직원들에게 월 말까지 출장 미팅 일정을 잡지 않도록 메일을 보낸 것으로 알려졌다현대기아자동차와 두산밥캣 등은 해외업무를 화상회의나 서류 검토 콘퍼런스콜 등 비대면 회의로 이어가고 있지만 정상적인 영업활동은 어려운 상태다 대기업 관계자는 해외 고객사와 새로 공급계약을 맺거나 투자유치를 하려면 국내로 해외 기업을 초청해야 한다며 한국의 코로나 사태 악화로 비즈니스 미팅이 많이 취소되거나 연기됐다고 말했다제네바모터쇼가 취소된 것도 걱정거리다 배터리업계 관계자는 제네바모터쇼 취소로 전기차 업체 바이어를 만날 기회조차 사라졌다며 베이징모터쇼는 무기한 연기됐고 월일 개막 예정인 국내  트렌드 코리아에 참가하는 해외 기업들도 줄지 않을지 걱정이라고 말했다중동과 동남아시아 등에 현장이 많은 건설사들은 입국 금지가 장기화할 경우 인력 수급 등에 차질을 우려한다 대형 건설사 관계자는 현장 상황에 따라 추가 인력을 보내거나 현지에서 국내로 휴가도 나와야 하는데 입국 문제가 길어지면 정말 큰일이라고 말했다정유미 기자 경향신문 무단전재 및 재배포 금지,경제
3,육군 마스크 생산업체 지원나섰다 일 인천의 한 코로나 예방용 마스크 생산업체에서 육군 현장지원팀 장병들이 제품 포장작업을 하고 있다 국방부는 부산 전주 파주 등지 개 마스크 생산업체에 장병 명과 배송 차량 대를 지원했다 국방부 제공 육군 마스크 생산업체 지원나섰다 일 인천의 한 코로나 예방용 마스크 생산업체에서 육군 현장지원팀 장병들이 제품 포장작업을 하고 있다 국방부는 부산 전주 파주 등지 개 마스크 생산업체에 장병 명과 배송 차량 대를 지원했다 국방부 제공코로나 급속 확산으로 수요가 커진 우체국의 마스크 판매시간이 기존 오후 시에서 일부터 오전 시로 앞당겨진다 문재인 대통령은 마스크 수급 문제를 해결할 모든 대책을 최우선 강구하라고 지시했다과학기술정보통신부 우정사업본부는 일 우체국에 온 고객들이 조금이라도 빨리 마스크를 구할 수 있도록 오전 시로 판매시간을 조정하겠다고 밝혔다일부터 우체국에서 오전 시에 마스크가 판매되며 당일 판매 수량도 입구에 안내문을 붙이는 등 사전에 안내하기로 했다 다만 제주지역은 오후 시에 도서지역은 도착 여부에 따라 판매하기로 했다 또한 오후에 근무하는 시간제 우체국은 오후 시에 판매한다우체국에서 판매하는 마스크 수량은 인당 개로 제한된다 가격은 원개당 원이고 전국 하루 판매 물량은 만개이다 하루 판매 물량과 가격은 제조업체와의 협의에 따라 매일 달라질 수 있다우정사업본부는 지난달 일 대구청도 지역을 시작으로 일에는 전국 개 우체국에서 마스크를 판매했다 그러나 공급량이 부족해 읍면 소재 우체국에서는 약 명에게만 마스크를 판매했다마스크 판매 우체국 등 기타 자세한 사항은 우정사업본부 인터넷우체국 홈페이지 우체국콜센터를 통해 확인할 수 있다문 대통령은 이날 오후 홍남기 부총리 겸 기획재정부 장관 이의경 식품의약품안전처장 등에게 마스크 공급 관련 긴급보고를 받고 대책 마련과 투명한 정보공개를 지시했다 문 대통령은 마스크 공급과 유통에 장애가 되는 법과 제도가 있다면 가능한 범위에서 시급히 정비하라고 지시했다 품귀 현상을 빚자 정부는 지난달 일 마스크 긴급수급조정조치를 발동 하루 생산량의 를 공적 판매토록 하는 강제조치에 들어갔다 박능후 중앙재난안전대책본부 차장보건복지부 장관은 국민이 보다 쉽게 마스크를 살 수 있는 방안을 강구하고 있다고 밝혔다곽희양 기자 경향신문 무단전재 및 재배포 금지,경제
4,발길 끊긴 대구 동성로 일 오후 대구 동성로의 한 상점에 코로나 확산을 막기 위해 임시휴업을 한다는 안내문이 붙어 있다 연합뉴스 발길 끊긴 대구 동성로 일 오후 대구 동성로의 한 상점에 코로나 확산을 막기 위해 임시휴업을 한다는 안내문이 붙어 있다 연합뉴스이노텍과 삼성전자 구미사업장에서 코로나 확진자가 나와 생산라인이 멈추는 등 산업계에 셧다운이 현실화되고 있다 재택근무가 어려운 일부 중소기업의 고민이 깊어지는 한편 이미 재택근무에 들어간 직원들은 업무 집중도 등에서 피로감도 호소한다이노텍은 일 구미공장에서 확진자가 발생해 해당 라인을 폐쇄하고 방역을 실시하고 있다고 밝혔다 카메라 모듈을 생산하는 이 공장에서 일하던 직원은 모두 자택에 대기 상태로 들어갔다 보건당국과 협의해 안전하다고 판단될 경우 공장은 일 재가동할 예정이다지난달 일 삼성전자 구미사업장 무선사업부에서 일하는 ㄱ씨가 코로나 확진 판정을 받아 일 오후 시까지 사업장 문이 닫혔다 이는 지난달 일 무선사업부 직원 ㄴ씨의 확진 판정으로 사흘간 구미사업장이 폐쇄된 이후 다시 벌어진 일이다 지난달 일에는 구미사업장 네트워크사업부 직원 ㄷ씨가 확진 판정을 받아 해당 사무실 등을 닫았다 삼성전자 측은 사업장 일시 폐쇄는 생산량재고량 조절로 관리할 수 있는 범위여서 생산 차질은 빚지 않는다고 밝혔다자사 직원이 확진자가 아니어도 공장을 멈추는 경우가 있다 디스플레이 구미사업장 내 모듈 공장은 지난달 일부터 일까지 폐쇄됐다 해당 사업장에는 은행 식당 매점 등이 입주한 복지동이 있는데 은행 직원이 확진 판정을 받아서다 디스플레이는 복지동을 이용하는 직원들이 근무하는 모듈 공장을 일까지 닫는다자동차 업계의 위기감도 계속되고 있다 지난달 일 현대자동차 울산공장에서 근무하는 직원이 코로나 확진 판정을 받자 일까지 공장 가동을 멈춰 세웠다 스포츠유틸리티차인 팰리세이드  싼타페 등을 생산하는 곳이다 업계에선 국내 자동차 부품사의 가 몰린 대구경북 지역에 확진자가 더 늘어날 경우 자동차 업계의 피해가 커질 수 있다고 본다코로나 확산세가 누그러지지 않자 텔레콤이 재택근무를 당초 일에서 일까지 연장하는 등 대기업을 중심으로 재택근무를 늘리는 추세다 다만 정보통신기술 기반이 약해 재택근무를 하기 어려운 일부 중소기업의 고민은 깊어지고 있다 서울에서 인가량의 직원을 둔 한 업체는 임신부에게는 허용했지만 전 직원 재택근무는 엄두를 내지 못한다 이 회사 관계자는 영상회의나 원격업무 시스템이 충분치 못한 중소기업 현실상 전 직원 재택근무는 어렵다고 말했다재택근무를 하는 직원들의 피로감도 나온다 대기업 과장인 ㄹ씨는 아침에 정장을 입고 출퇴근하는 수고로움은 덜었다면서도 집에만 있자니 업무 집중도가 떨어지고 답답하다고 말했다 다른 대기업 직원 ㅁ씨는 어린이집까지 문을 닫아서 아이를 보면서 집에서 일하느라 더 힘든 거 같다고 말했다한편 사람이 몰리는 것을 꺼리는 분위기가 강해지면서 월 정기주주총회 개최에 대한 걱정도 늘었다 화학 이노베이션 효성 등은 주총장 입구에서 열화상 카메라로 참석자 체온을 재기로 했다 삼성전자 현대자동차 등이 이번 주총부터 도입하는 전자투표제도 대안이다 월 기준 국내 전체 상장사 곳 중 곳이 전자투표제를 적용했다곽희양 기자 경향신문 무단전재 및 재배포 금지,경제
5,서울뉴시스이재준 기자  중국에서 전역으로 확산한 아프리카 돼지열병을 퇴치 예방할 수 있는 백신을 개발하는데 성공했다고 신화망과 신랑망 등이 일 보도했다매체에 따르면 중국농업과학원 하얼빈 수의연구소 연구팀은 학술지 중국과학 생명과학   에 발표한 논문을 통해  백신을 연구해 만들어냈다고 밝혔다하얼빈 수의연구소 연구팀은 지난해  바이러스를 분리하고서 바이러스 유전자를 조작해 백신으로 사용한 결과 돼지에 면역력이 생겼다고 설명했다연구진은 새로 개발한 백신의 효과와 안전성 모두 확인했으며 이로써 백신을 대량생산할 수 있게 됐다고 매체는 지적했다세계 최대 돼지고기 생산국이자 소비국인 중국에서는 년 월 초 랴오닝성 선양에서 발원한 이래 가 각지로 퍼지면서 작년 말 돼지 사육 두수가 전년 동기보다 억 마리 이상 격감했다에 걸린 돼지와 멧돼지는 급성이자 고도 전염성 있는 발병을 하며 치사율이 거의 에 이를 정도로 치명적이다이로 인해 중국 돼지고기 가격은 요즘 들어 지난해보다 배 이상 급등함으로써 물가 전반의 상승을 야기 사회문제로 대두했다한국과 일본 비롯한 주변국에도 가 전파하면서 그간 막대한 피해를 주었다 백신 개발로 실용화를 통한 대량접종으로 사태가 완화할 것이라는 기대가 높아지고 있다 공감언론 뉴시스 ,경제
6,기사 섹션 분류 안내기사의 섹션 정보는 해당 언론사의 분류를 따르고 있습니다 언론사는 개별 기사를 개 이상 섹션으로 중복 분류할 수 있습니다닫기,경제
7,헤럴드경제김성훈 기자 질병관리본부 등 정부기관 명의로 전화또는 문자가 와서 돈을 요구하거나 앱 설치를 요구한다면 즉시 전화를 끊어야 한다금융위원회 금융감독원은 일 코로나 관련 보이스피싱과 허위 문자로 인한 소비자 주의를 당부했다 현재까지 시중은행 등에 접수된 실제 피해사례는 확인되고 있지 않지만 재산상 피해가 날 수 있기 때문이다금융당국이 안내하는 보이스피싱 단계별 예방 원칙에 따르면 우선 지연이체서비스 입금계좌지정서비스 등 보이스피싱 예방을 위한 서비스에 미리 가입해 두면 도움이 된다질병관리본부 건강보험심사평가원 기타 보건의료기관에서 전화나 문자가 왔는데 돈 또는 금융 정보를 요구하거나 앱을 설치하라고 하면 즉시 끊어야 한다 정부부처 공공기관 보건의료기관 등은 어떤 일이 있어도 금전 요구 등을 하지 않는다코로나 안내 의심 문자를 받았을 경우 메시지에 있는 의심스러운 전화번호 인터넷 주소등은 클릭하면 안 된다 휴대폰에 앱을 설치하거나 인터넷 주소로 들어가라고 한다면 계좌번호 개인정보가 유출될 수 있어 의심되는 앱 설치 또는 사이트 접속은 하지 말아야 한다실수로 이미 앱을 설치했다면 즉시 앱을 삭제하고 비밀번호 등 금융관련 개인정보를 입력하지 말아야 한다 만약 송금이체를 했다면 즉시 전화로 은행고객센터 또는 경찰전화번호   금감원에 송금이체한 계좌에 대해 지급정지를 요청하면 피해를 줄일 수 있다금융당국도 대응에 나섰다 지난달 일 금융위는 컨퍼런스 콜을 통해 금융권 코로나 보이스피싱 대응 상황을 점검하고 금융권에 전파될 수 있도록 했다정부는 과기정통부경찰청 등 관계부처 간 협조체계를 강화해 코로나 허위정보 등 관련 전화번호악성사이트 등을 신속차단하고 수사공조 체계를 강화할 예정이다 또 사전예방차단단속처벌피해구제 등 보이스피싱의 전 과정에 걸친 종합적체계적 대응방안을 마련한다금융위 관계자는 금융회사들도 이상금융거래탐지시스템으로 상시 모니터링을 강화한다라면서 국민께서도 현 상황을 악용한 허위 내용의 문자에 현혹되지 마시고 악성앱 등에 의한 보이스피싱 피해를 당하지 않도록 특별히 주의를 기울여 주길 바란다라고 당부했다   헤럴드경제   무단 전재 및 재배포 금지 ,경제
8,동영상 뉴스앵커우체국이 문을 닫는 휴일에 공적 판매되는 마스크를 찾는 인파는 농협과 약국으로 몰렸습니다특히 농협 하나로마트 가운데 처음 물량이 풀린 서울경기 지역의 매장에는 아기를 업고도 장시간 대기하는 등 곳곳에 긴 줄이 늘어섰습니다김평정 기자입니다기자사람들이 늘어선 줄이 모퉁이를 돌아도 길게 이어지고 한참을 더 가더니 하나로마트에 이르러서야 끝납니다바로 공적 판매되는 마스크를 사기 위한 대기 행렬입니다특히 대구경북을 시작으로 비수도권에 먼저 공적 마스크를 공급했던 농협 하나로마트가 서울과 경기 지역에 물량을 처음 내놓으면서 구매 인파가 아침부터 몰렸습니다아기를 업고도 시간 넘게 기다리는 등 대기 줄이 길어지자 일부 지역의 매장은 구매 한도 만큼의 번호표를 나눠줘 기다리지 말고 잠시 뒤에 오도록 유도하기도 했습니다김영생  경기도 성남시 태평동  시장 보고 밥 먹고 여기 서 있는 건 시부터 서 있습니다 저 같은 경우는 한 주 만에 사는 것 같아요드디어 판매가 시작되고 마스크는 한 장에 천 원대 중후반 가격으로 한 사람에 장가량씩 돌아갔습니다장이 넉넉한 양은 아닌 만큼 우선은 가족 중에 급한 사람부터 아껴쓸 생각입니다공적 마스크 구입 시민  너무 줄서기를 오래 해서 다리가 아프고 현기증이 나려고 해요 저는 집에서 잘 안 나가는데 다른 가족 두 사람은 출근하고 하니까 써야죠다른 공적 마스크 공급처인 약국은 공급량이 하루에 백 장 정도씩으로 적어서 입고되더라도 대부분 시간 안에 다 팔려 나갔습니다식약처는 휴일 하루 동안 전국의 약국과 농협에서 공적 마스크 만 개를 공급했다고 밝혔습니다김상봉  식품의약품안전처 바이오생약국장  정부는 마스크의 원활한 공급을 위하여 모든 정책수단을 활용할 것이며 최대한 많은 물량이 시장에 공급될 수 있도록 최선을 다하겠습니다정부는 다음 주에 공적 마스크 공급이 안정화되면 민간이 판매하는 마스크 가격도 점차 낮아질 것으로 전망했습니다 김평정입니다저작권자     무단전재 및 재배포 금지,경제
9, 미국 항공우주국  미국 항공우주국서울뉴스 박혜연 기자  미국 항공우주국나사이 신종 코로나바이러스 감염증코로나 확산 사태로 인해 중국 전역의 공기 오염이 급격히 감소했다고 밝혔다일현지시간 에 따르면 나사가 촬영한 위성사진에서 올해부터 중국 대기 속 이산화질소 농도가 급격히 감소했다는 사실이 드러났다 과거 수년 간 같은 기간에 비해 더 오래 지속되는 경향도 보였다이는 코로나 확산으로 인해 중국 공장들이 작업을 중단하거나 폐쇄되면서 유독가스 배출이 줄어들었기 때문이다 처음에는 바이러스 발원지인 후베이성 우한 인근에서만 깨끗한 공기가 나타났다가 이후 중국 전역으로 확산되는 과정이 보인다나사는 올해 월과 작년 동기간을 비교하며 올해 나타난 대기오염의 감소는 인구 이동과 사업활동이 제한되고 수백만명이 격리에 들어간 시점과 일치한다고 지적했다 해피펫  터닝 포인트  구매 네이버 메인에서 뉴스 구독하기 뉴스코리아 무단 전재 및 재배포 금지,경제
